Order,Email,Created at,Order Date,Subtotal,Discount Amount,Lineitem name,CATEGORY,Lineitem price,open_rate,click_rate
#4314,21268094242,2021-03-31 10:20:13 +1100,3/31/2021,,,Honey Butter Balm,Honey Butter Balm,9,20.94%,3.62%
#4314,21268094242,2021-03-31 10:20:13 +1100,3/31/2021,,0,Honey Lip Balm,Honey Lip Balm,3.66,30.47%,1.52%
#4313,47851989126,2021-03-30 23:42:10 +1100,3/30/2021,61,,Gift wrapping Service,Gift wrapping Service,5,76.51%,76.42%
#4313,47851989126,2021-03-30 23:42:10 +1100,3/30/2021,,,Honey Lip Balms and Scrubs - Choc Mint Lip Balm - 12g,Honey Lip Balms and Scrubs,6,83.27%,14.10%
#4313,47851989126,2021-03-30 23:42:10 +1100,3/30/2021,,0,Honey and Tea Treats Gift Box - Masala Chai / Heart Shaped Tea Infuser,Honey and Tea Treats Gift Box,50,73.42%,71.10%
#4312,52604729652,2021-03-30 18:58:16 +1100,3/30/2021,30.5,0,Naked Beeswax Tea Light Candles - 12 Pack,Naked Beeswax Tea Light Candles,30.5,62.18%,36.36%
#4311,96267023941,2021-03-29 21:31:41 +1100,3/29/2021,44.5,,Beeswax Food Wraps & Covers - DIY Starter Pack,Beeswax Food Wraps & Covers,15.5,58.23%,57.66%
#4311,96267023941,2021-03-29 21:31:41 +1100,3/29/2021,,0,Beeswax Food Wraps & Covers DIY Kit - Bees and Honey,Beeswax Food Wraps & Covers DIY Kit,29,1.94%,1.61%
#4310,28167345221,2021-03-28 22:49:26 +1100,3/28/2021,611.4,,Sample Tea - Masala,Sample Tea,2.33,79.20%,60.27%
#4310,28167345221,2021-03-28 22:49:26 +1100,3/28/2021,,,Honey Dippers,Honey Dippers,1.8,58.84%,52.84%
#4310,28167345221,2021-03-28 22:49:26 +1100,3/28/2021,,,Thread Conditioner,Thread Conditioner,4.75,16.65%,0.60%
#4310,28167345221,2021-03-28 22:49:26 +1100,3/28/2021,,,Choc Mint Lip Balm,Choc Mint Lip Balm,3.66,39.56%,2.61%
#4310,28167345221,2021-03-28 22:49:26 +1100,3/28/2021,,,Honey Peppermint Lotion Bar,Honey Peppermint Lotion Bar,6.4,91.38%,45.40%
#4310,28167345221,2021-03-28 22:49:26 +1100,3/28/2021,,0,Tea strainers,Tea strainers,5,60.91%,25.12%
#4309,82120703163,2021-03-28 16:12:21 +1100,3/28/2021,60,0,Tea 8 Pack Variety Selection,Tea 8 Pack Variety Selection,60,97.31%,62.15%
#4308,79709972213,2021-03-27 17:20:44 +1100,3/27/2021,72.5,,Beeswax Food Wraps & Covers DIY Kit - Bees on Green,Beeswax Food Wraps & Covers DIY Kit,29,43.01%,24.96%
#4308,79709972213,2021-03-27 17:20:44 +1100,3/27/2021,,,Mini Chai and Honey Gift Box - Dark Chocolate Chai / White Chocolate Chai,Mini Chai and Honey Gift Box,23,90.06%,32.01%
#4308,79709972213,2021-03-27 17:20:44 +1100,3/27/2021,,0,Naked Beeswax Tea Light Candles - 6 Pack,Naked Beeswax Tea Light Candles,20.5,28.19%,15.76%
#4307,22491727745,2021-03-25 13:01:58 +1100,3/25/2021,54.62,,Sweet'n'Sticky Honey Chai - 100g,Sweet'n'Sticky Honey Chai,9.5,60.14%,49.78%
#4307,22491727745,2021-03-25 13:01:58 +1100,3/25/2021,,0,Sticky Turmeric Chai - 250g,Sticky Turmeric Chai,22.56,36.71%,31.44%
#4306,54704549222,2021-03-25 07:55:31 +1100,3/25/2021,68,0,Chilli Chai - 500g,Chilli Chai,68,44.67%,3.06%
#4305,79722469500,2021-03-24 18:01:52 +1100,3/24/2021,51,,*NEW* Honey and Peppermint Lotion Bar For Dry Heels,*NEW* Honey and Peppermint Lotion Bar For Dry Heels,8,25.24%,15.75%
#4305,79722469500,2021-03-24 18:01:52 +1100,3/24/2021,,,Natural Honey Face Cleanser Pack for All Skin Types - Pink Roses,Natural Honey Face Cleanser Pack for All Skin Types,29.5,61.12%,23.36%
#4305,79722469500,2021-03-24 18:01:52 +1100,3/24/2021,,0,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,81.11%,53.21%
#4304,26881894657,2021-03-24 16:32:47 +1100,3/24/2021,47.5,,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,38.50%,25.05%
#4304,26881894657,2021-03-24 16:32:47 +1100,3/24/2021,,,Naked Beeswax Tea Light Candles - 6 Pack,Naked Beeswax Tea Light Candles,20.5,35.39%,25.23%
#4304,26881894657,2021-03-24 16:32:47 +1100,3/24/2021,,,Raw Australian Honey - 65g,Raw Australian Honey,5.5,41.94%,39.48%
#4304,26881894657,2021-03-24 16:32:47 +1100,3/24/2021,,0,*NEW* Honey and Peppermint Lotion Bar For Dry Heels,*NEW* Honey and Peppermint Lotion Bar For Dry Heels,8,4.07%,0.08%
#4303,83782826938,2021-03-24 13:33:42 +1100,3/24/2021,63,,Naked Beeswax Tea Light Candles - 24 Pack,Naked Beeswax Tea Light Candles,55,34.57%,17.31%
#4303,83782826938,2021-03-24 13:33:42 +1100,3/24/2021,,0,*NEW* Honey and Peppermint Lotion Bar For Dry Heels,*NEW* Honey and Peppermint Lotion Bar For Dry Heels,8,4.91%,3.37%
#4302,25790047633,2021-03-24 09:20:03 +1100,3/24/2021,13.5,0,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,52.81%,42.85%
#4301,44566998396,2021-03-24 07:41:12 +1100,3/24/2021,30.5,0,Naked Beeswax Tea Light Candles - 12 Pack,Naked Beeswax Tea Light Candles,30.5,56.42%,7.23%
#4300,70261273150,2021-03-23 20:52:29 +1100,3/23/2021,13.5,0,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,26.91%,13.61%
#4299,65954258775,2021-03-23 16:14:58 +1100,3/23/2021,7,0,Beeswax Thread Conditioner - Sewing Accessory,Beeswax Thread Conditioner,7,47.11%,22.09%
#4298,12183631982,2021-03-22 22:39:05 +1100,3/22/2021,53.25,,Stainless Steel Tea Strainers - Stainless Steel Mesh Ball,Stainless Steel Tea Strainers,6,6.18%,3.26%
#4298,12183631982,2021-03-22 22:39:05 +1100,3/22/2021,,0,Rooibos Chai - 250g,Rooibos Chai,47.25,91.18%,60.57%
#4297,41136409558,2021-03-22 14:33:58 +1100,3/22/2021,61.5,,Honey Face Cleanser Mask Pack - Autumn,Honey Face Cleanser Mask Pack,29.5,25.97%,22.61%
#4297,41136409558,2021-03-22 14:33:58 +1100,3/22/2021,,0,*NEW* Honey and Peppermint Lotion Bar For Dry Heels,*NEW* Honey and Peppermint Lotion Bar For Dry Heels,8,29.34%,10.47%
#4296,7511132013,2021-03-21 15:54:38 +1100,3/21/2021,22.56,0,Sweet'n'Sticky Honey Chai - 250g,Sweet'n'Sticky Honey Chai,22.56,21.79%,8.66%
#4295,40600020043,2021-03-20 15:30:27 +1100,3/20/2021,54.75,,Australian Grown Loose Leaf Tea - 50g,Australian Grown Loose Leaf Tea,8,29.43%,19.92%
#4295,40600020043,2021-03-20 15:30:27 +1100,3/20/2021,,,Golden Turmeric Chai - 50g,Golden Turmeric Chai,8.5,73.29%,64.02%
#4295,40600020043,2021-03-20 15:30:27 +1100,3/20/2021,,0,Dark Chocolate Chai - 250g,Dark Chocolate Chai,38.25,25.03%,20.38%
#4294,8246534745,2021-03-19 20:06:16 +1100,3/19/2021,15,,*NEW* Honey and Peppermint Lotion Bar For Dry Heels,*NEW* Honey and Peppermint Lotion Bar For Dry Heels,8,77.36%,24.79%
#4294,8246534745,2021-03-19 20:06:16 +1100,3/19/2021,,0,Beeswax Thread Conditioner - Sewing Accessory,Beeswax Thread Conditioner,7,55.48%,33.20%
#4293,76587300059,2021-03-19 20:00:24 +1100,3/19/2021,23.5,,Beeswax Thread Conditioner - Sewing Accessory,Beeswax Thread Conditioner,7,66.40%,43.49%
#4293,76587300059,2021-03-19 20:00:24 +1100,3/19/2021,,0,Beeswax Wood Polish with Raw Linseed Oil,Beeswax Wood Polish with Raw Linseed Oil,16.5,37.72%,29.59%
#4292,29400561451,2021-03-19 14:01:23 +1100,3/19/2021,25.5,,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,23.28%,3.27%
#4292,29400561451,2021-03-19 14:01:23 +1100,3/19/2021,,,Honey Lip Balms and Scrubs - Honey Lip Balm - 12g,Honey Lip Balms and Scrubs,6,78.91%,58.47%
#4292,29400561451,2021-03-19 14:01:23 +1100,3/19/2021,,0,Honey Lip Balms and Scrubs - Choc Mint Lip Balm - 12g,Honey Lip Balms and Scrubs,6,2.44%,1.08%
#4291,14001027156,2021-03-19 13:41:24 +1100,3/19/2021,7,0,Beeswax Thread Conditioner - Sewing Accessory,Beeswax Thread Conditioner,7,94.11%,68.24%
#4290,98682195361,2021-03-19 10:48:19 +1100,3/19/2021,21,0,Beeswax Thread Conditioner - Sewing Accessory,Beeswax Thread Conditioner,7,54.70%,37.48%
#4289,44112075852,2021-03-18 23:57:37 +1100,3/18/2021,55.5,,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,11.56%,5.86%
#4289,44112075852,2021-03-18 23:57:37 +1100,3/18/2021,,0,Beeswax Thread Conditioner - Sewing Accessory,Beeswax Thread Conditioner,7,16.32%,5.31%
#4288,34562810956,2021-03-18 21:31:46 +1100,3/18/2021,40.5,,Honey Lip Balms and Scrubs - Honey Lip Scrub - 15g,Honey Lip Balms and Scrubs,6,59.38%,24.19%
#4288,34562810956,2021-03-18 21:31:46 +1100,3/18/2021,,,Honey Lip Balms and Scrubs - Honey Lip Balm - 12g,Honey Lip Balms and Scrubs,6,59.69%,24.88%
#4288,34562810956,2021-03-18 21:31:46 +1100,3/18/2021,,,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,34.18%,20.34%
#4288,34562810956,2021-03-18 21:31:46 +1100,3/18/2021,,,Beeswax Thread Conditioner - Sewing Accessory,Beeswax Thread Conditioner,7,97.79%,77.89%
#4288,34562810956,2021-03-18 21:31:46 +1100,3/18/2021,,0,*NEW* Honey and Peppermint Lotion Bar For Dry Heels,*NEW* Honey and Peppermint Lotion Bar For Dry Heels,8,49.55%,1.63%
#4287,8827492816,2021-03-18 21:31:19 +1100,3/18/2021,35,0,Beeswax Thread Conditioner - Sewing Accessory,Beeswax Thread Conditioner,7,78.47%,25.23%
#4286,77510585612,2021-03-18 18:36:05 +1100,3/18/2021,89,,Naked Beeswax Tea Light Candles - 24 Pack,Naked Beeswax Tea Light Candles,55,68.84%,46.47%
#4286,77510585612,2021-03-18 18:36:05 +1100,3/18/2021,,,Beeswax Leather Polish with Cocoa Butter,Beeswax Leather Polish with Cocoa Butter,17.5,20.57%,17.04%
#4286,77510585612,2021-03-18 18:36:05 +1100,3/18/2021,,0,Naked Beeswax Tea Light Candles - Glass Tea Light Holder only,Naked Beeswax Tea Light Candles,5.5,2.59%,0.94%
#4285,8217560287,2021-03-18 14:17:29 +1100,3/18/2021,59.5,,Naked Beeswax Tea Light Candles - 6 Pack,Naked Beeswax Tea Light Candles,20.5,15.34%,3.96%
#4285,8217560287,2021-03-18 14:17:29 +1100,3/18/2021,,,Honey Lip Balms and Scrubs - Choc Mint Lip Balm - 12g,Honey Lip Balms and Scrubs,6,31.22%,11.48%
#4285,8217560287,2021-03-18 14:17:29 +1100,3/18/2021,,,Australian Grown Loose Leaf Tea - 50g,Australian Grown Loose Leaf Tea,8,6.29%,0.83%
#4285,8217560287,2021-03-18 14:17:29 +1100,3/18/2021,,,Golden Turmeric Chai - 50g,Golden Turmeric Chai,8.5,23.32%,8.48%
#4285,8217560287,2021-03-18 14:17:29 +1100,3/18/2021,,,Chilli Chai - 50g,Chilli Chai,8,42.21%,20.77%
#4285,8217560287,2021-03-18 14:17:29 +1100,3/18/2021,,0,Dark Chocolate Chai - 50g,Dark Chocolate Chai,8.5,9.70%,8.48%
#4284,65802870538,2021-03-17 05:42:05 +1100,3/17/2021,39,,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,76.16%,47.67%
#4284,65802870538,2021-03-17 05:42:05 +1100,3/17/2021,,0,Honey Lip Balms and Scrubs - Choc Mint Lip Balm - 12g,Honey Lip Balms and Scrubs,6,35.08%,12.54%
#4283,42579769884,2021-03-16 19:51:51 +1100,3/16/2021,25.5,,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,20.87%,11.60%
#4283,42579769884,2021-03-16 19:51:51 +1100,3/16/2021,,,Honey Lip Balms and Scrubs - Honey Lip Scrub - 15g,Honey Lip Balms and Scrubs,6,7.05%,1.92%
#4283,42579769884,2021-03-16 19:51:51 +1100,3/16/2021,,0,Honey Lip Balms and Scrubs - Honey Lip Balm - 12g,Honey Lip Balms and Scrubs,6,14.11%,11.98%
#4282,61646332199,2021-03-16 12:21:18 +1100,3/16/2021,38.25,0,Golden Turmeric Chai - 250g,Golden Turmeric Chai,38.25,55.69%,41.65%
#4281,9196258420,2021-03-15 21:56:50 +1100,3/15/2021,27,0,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,49.55%,43.97%
#4280,94684707602,2021-03-15 17:03:36 +1100,3/15/2021,55.5,,Sweet'n'Sticky Honey Chai - 100g,Sweet'n'Sticky Honey Chai,9.5,84.97%,27.09%
#4280,94684707602,2021-03-15 17:03:36 +1100,3/15/2021,,,*NEW* Honey and Peppermint Lotion Bar For Dry Heels,*NEW* Honey and Peppermint Lotion Bar For Dry Heels,8,76.48%,16.52%
#4280,94684707602,2021-03-15 17:03:36 +1100,3/15/2021,,0,Tea Sampler Gift Box With Tea Strainer - With a Heart Shaped Tea Strainer,Tea Sampler Gift Box With Tea Strainer,38,64.45%,14.29%
#4279,71341462829,2021-03-15 16:13:04 +1100,3/15/2021,6,0,Stainless Steel Tea Strainers - Heart Shaped Tea Strainer,Stainless Steel Tea Strainers,6,8.50%,7.89%
#4278,61730211897,2021-03-15 00:55:59 +1100,3/15/2021,58,,Naked Beeswax Tea Light Candles - 12 Pack,Naked Beeswax Tea Light Candles,38.5,71.74%,41.26%
#4278,61730211897,2021-03-15 00:55:59 +1100,3/15/2021,,0,Beeswax Leather Polish with Cocoa Butter,Beeswax Leather Polish with Cocoa Butter,19.5,35.62%,19.69%
#4277,47803953978,2021-03-14 22:02:25 +1100,3/14/2021,25.5,,Honey Lip Balms and Scrubs - Honey Lip Balm - 12g,Honey Lip Balms and Scrubs,6,42.78%,30.76%
#4277,47803953978,2021-03-14 22:02:25 +1100,3/14/2021,,0,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,39.57%,19.33%
#4276,56159050116,2021-03-14 20:42:49 +1100,3/14/2021,33.5,,Honey Dippers,Honey Dippers,2.5,28.69%,23.81%
#4276,56159050116,2021-03-14 20:42:49 +1100,3/14/2021,,,Sweet'n'Sticky Honey Chai - 100g,Sweet'n'Sticky Honey Chai,9.5,36.99%,11.76%
#4276,56159050116,2021-03-14 20:42:49 +1100,3/14/2021,,,*NEW* Honey and Peppermint Lotion Bar For Dry Heels,*NEW* Honey and Peppermint Lotion Bar For Dry Heels,8,51.63%,29.82%
#4276,56159050116,2021-03-14 20:42:49 +1100,3/14/2021,,0,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,44.61%,10.28%
#4275,77510585612,2021-03-14 18:06:13 +1100,3/14/2021,82.5,,Naked Beeswax Tea Light Candles - Glass Tea Light Holder only,Naked Beeswax Tea Light Candles,5.5,22.76%,1.24%
#4275,77510585612,2021-03-14 18:06:13 +1100,3/14/2021,,0,Naked Beeswax Tea Light Candles - 24 Pack,Naked Beeswax Tea Light Candles,55,83.28%,22.81%
#4274,91548110011,2021-03-14 14:38:09 +1100,3/14/2021,51.5,,Honey Dippers,Honey Dippers,2.5,55.57%,55.22%
#4274,91548110011,2021-03-14 14:38:09 +1100,3/14/2021,,,Raw Australian Honey - 150g,Raw Australian Honey,8.5,29.42%,1.28%
#4274,91548110011,2021-03-14 14:38:09 +1100,3/14/2021,,0,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,19.19%,11.65%
#4273,64367447611,2021-03-14 07:34:30 +1100,3/14/2021,50,0,Tea 6 Pack Variety Selection,Tea 6 Pack Variety Selection,50,32.38%,4.60%
#4272,69067706962,2021-03-13 19:23:33 +1100,3/13/2021,57,,Beeswax Thread Conditioner - Sewing Accessory,Beeswax Thread Conditioner,7,15.69%,5.60%
#4272,69067706962,2021-03-13 19:23:33 +1100,3/13/2021,,0,Honey and Tea Treats Gift Box - Dark Chocolate Chai / Stainless Steel Mesh Tea Ball,Honey and Tea Treats Gift Box,50,50.90%,49.08%
#4271,65558953109,2021-03-13 13:31:08 +1100,3/13/2021,88.5,0,Honey Face Cleanser Mask Pack - Pink Roses,Honey Face Cleanser Mask Pack,29.5,90.76%,90.14%
#4270,51947271654,2021-03-13 10:26:11 +1100,3/13/2021,84,,Mini Chai and Honey Gift Box - Dark Chocolate Chai / Australian Black Tea,Mini Chai and Honey Gift Box,23,10.96%,10.50%
#4270,51947271654,2021-03-13 10:26:11 +1100,3/13/2021,,,Tea Sampler Gift Box With Tea Strainer - With a Mesh Tea Ball Strainer,Tea Sampler Gift Box With Tea Strainer,38,51.20%,2.95%
#4270,51947271654,2021-03-13 10:26:11 +1100,3/13/2021,,0,Mini Chai and Honey Gift Box - Dark Chocolate Chai / Chilli Chai,Mini Chai and Honey Gift Box,23,48.14%,0.95%
#4269,74555154311,2021-03-12 21:04:12 +1100,3/12/2021,71.5,,Beeswax Wrap Blocks - for DIY Food Wraps - 4,Beeswax Wrap Blocks,50,38.40%,9.59%
#4269,74555154311,2021-03-12 21:04:12 +1100,3/12/2021,,,*NEW* Honey and Peppermint Lotion Bar For Dry Heels,*NEW* Honey and Peppermint Lotion Bar For Dry Heels,8,0.50%,0.21%
#4269,74555154311,2021-03-12 21:04:12 +1100,3/12/2021,,0,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,13.07%,1.39%
#4268,50183257495,2021-03-12 20:22:32 +1100,3/12/2021,72.25,0,White Chocolate Chai - 500g,White Chocolate Chai,72.25,50.56%,2.64%
#4267,33981859905,2021-03-12 10:08:30 +1100,3/12/2021,327.24,,Chilli Chai,Chilli Chai,5.66,31.57%,30.14%
#4267,33981859905,2021-03-12 10:08:30 +1100,3/12/2021,,,Dark Chocolate Chai,Dark Chocolate Chai,6,48.35%,25.24%
#4267,33981859905,2021-03-12 10:08:30 +1100,3/12/2021,,,Turmeric Chai,Turmeric Chai,6,22.26%,5.45%
#4267,33981859905,2021-03-12 10:08:30 +1100,3/12/2021,,,Sticky Turmeric Chai,Sticky Turmeric Chai,6.33,60.41%,8.69%
#4267,33981859905,2021-03-12 10:08:30 +1100,3/12/2021,,,Heart Shaped Strainer,Heart Shaped Strainer,5,6.27%,5.77%
#4267,33981859905,2021-03-12 10:08:30 +1100,3/12/2021,,,Mesh Tea Ball,Mesh Tea Ball,5,92.90%,12.22%
#4267,33981859905,2021-03-12 10:08:30 +1100,3/12/2021,,0,Beeswax Timber Polish,Beeswax Timber Polish,12.33,99.56%,29.40%
#4266,65523641960,2021-03-12 07:00:07 +1100,3/12/2021,120,0,50g Tea /Chai,50g Tea /Chai,8,0.59%,0.43%
#4265,64835197566,2021-03-12 06:25:47 +1100,3/12/2021,38,2.95,Tea Sampler Gift Box With Tea Strainer - With a Heart Shaped Tea Strainer,Tea Sampler Gift Box With Tea Strainer,38,3.63%,3.16%
#4264,11621175003,2021-03-11 20:40:48 +1100,3/11/2021,26.55,0,Honey Face Cleanser Mask Pack - Blue Bees,Honey Face Cleanser Mask Pack,29.5,68.96%,2.12%
#4263,34893217103,2021-03-10 21:19:27 +1100,3/10/2021,17,,Dark Chocolate Chai - 50g,Dark Chocolate Chai,8.5,54.73%,7.55%
#4263,34893217103,2021-03-10 21:19:27 +1100,3/10/2021,,0,White Chocolate Chai - 50g,White Chocolate Chai,8.5,4.12%,3.70%
#4262,26885371642,2021-03-10 20:58:52 +1100,3/10/2021,22.5,,Beeswax Wraps DIY Starter Pack,Beeswax Wraps DIY Starter Pack,15.5,92.42%,73.81%
#4262,26885371642,2021-03-10 20:58:52 +1100,3/10/2021,,0,Beeswax Thread Conditioner - Sewing Accessory,Beeswax Thread Conditioner,7,77.16%,5.78%
#4261,78587607537,2021-03-10 14:30:09 +1100,3/10/2021,53.5,,Chilli Chai - 50g,Chilli Chai,8,8.17%,0.68%
#4261,78587607537,2021-03-10 14:30:09 +1100,3/10/2021,,,Stainless Steel Tea Strainers - Stainless Steel Mesh Ball,Stainless Steel Tea Strainers,6,96.78%,54.12%
